,percentage_population_in_detached_houses,population,population_per_km2,percentage_detached_houses,percentage_flats_3to4_rooms,taxable_income_in_mio_CHF,taxable_income_per_taxable_person_in_chf,share_electric_cars,share_pv,share_renewable_heating,Heating data coverage,mean_electricity_tarif_2021_rp_per_kwh,% Ja,% participation,vote_accepted,temp_mean,pv_out_mea,NUMPOINTS,permanent_resident_population_%,swiss_citizen_%,foreign_citizen_%,age_0to14_%,age_15to19_%,age_20to39_%,age_40to59_%,age_60to64_%,age_65tomore_%,men_%
617,19.54887218,2901,1676.878613,47.98206278,60.15424165,97.9485,72662.09199,0.00921,0.14454,0.1547,0.6323,20.49307692,40.54,61.39,0,10.369421446619,3.2040991664918,23,0.897276801103068,0.7435367114788004,0.1537400896242675,0.11099620820406757,0.0448121337469838,0.22199241640813513,0.2843846949327818,0.04963805584281282,0.1854532919682868,0.4505342985177525
618,39.35091278,494,29.26540284,52.0,54.44015444,14.8108,72247.80488,0.01205,0.02869,0.2892,0.4858,21.87866667,41.82,58.67,0,7.995064968257759,3.22423636448848,6,1.0202429149797572,0.9412955465587044,0.07894736842105263,0.15991902834008098,0.05465587044534413,0.24898785425101214,0.2651821862348178,0.08502024291497975,0.20647773279352227,0.5303643724696356
619,36.36363636,698,112.39935590000002,48.97959184,48.42767296,16.5113,56160.88435,0.00673,0.03918,0.5941,0.9767,15.36733333,47.98,65.23,0,9.378364593856787,3.25656217976364,14,0.9469914040114613,0.8853868194842407,0.06160458452722063,0.14613180515759314,0.055873925501432664,0.24355300859598855,0.3223495702005731,0.04297994269340974,0.1361031518624642,0.4828080229226361
620,28.76357993,1903,198.6430063,57.51978892,52.50521921,40.7936,71193.0192,0.01227,0.01331,0.5873,0.9158,18.545,55.41,59.46,1,10.0881918523584,3.23879705583917,17,0.7246452968996322,0.5790856542301629,0.14555964266946925,0.11035207566999475,0.031003678402522335,0.18917498686284814,0.2517078297425118,0.04519180241723594,0.09721492380451918,0.36573830793483975
621,35.72110793,1034,187.3188406,57.87234043,44.22222222,34.4145,90326.77165,0.00966,0.04958,0.3108,0.9732,19.005,53.16,57.49,1,10.0489637740535,3.59965543549295,4,0.9090909090909091,0.7272727272727273,0.18181818181818182,0.18085106382978725,0.04932301740812379,0.21083172147001933,0.32011605415860733,0.05609284332688588,0.09187620889748549,0.4458413926499033
622,56.53710247,566,142.2110553,66.34146341,42.36641221,12.8238,56742.47788,0.01163,0.01877,0.4615,0.5994,21.92571429,48.49,62.28,0,9.80937499446528,3.28648214255061,5,1.0088339222614842,0.9681978798586572,0.04063604240282685,0.18904593639575973,0.037102473498233215,0.19081272084805653,0.3392226148409894,0.05123674911660778,0.20141342756183744,0.49469964664310956
623,25.61177934,4794,526.8131867999998,52.71966527,54.45450214,150.4822,75467.50251,0.02342,0.09281,0.5959,0.9557,15.36733333,47.98,65.23,0,9.561153919880212,3.26519423081325,49,0.9002920317062996,0.795369211514393,0.10492282019190655,0.1572799332498957,0.051731330830204425,0.27805590321234874,0.2590738423028786,0.042136003337505216,0.11201501877346684,0.4501460158531498
624,43.44338743,5354,847.1518987,72.72727273,59.90871054,193.3256,83007.98626,0.0075,0.06997,0.1959,1.0,18.05,46.98,59.38,0,10.653896146006401,3.24742208672808,41,0.9297721329846843,0.7786701531565184,0.15110197982816587,0.12364587224505043,0.05267090026148674,0.2022786701531565,0.2824056779977587,0.06630556593201345,0.20246544639521852,0.4600298841987299
625,45.75163399,2246,314.5658263,66.66666667,52.26860254,61.5121,67670.07701000001,0.00708,0.23356,0.435,0.9669,13.7525,43.86,59.14,0,9.927184442871981,3.22268932305493,11,0.9154051647373108,0.8294746215494212,0.08593054318788958,0.14826357969723955,0.057435440783615316,0.22395369545859306,0.3103294746215494,0.05699020480854853,0.11843276936776491,0.45903829029385573
626,37.05605477,2321,444.6360153,59.89761092,57.79742765,61.61,61242.54473,0.00672,0.06548999999999999,0.2902,0.9653,21.92571429,48.49,62.28,0,9.80937499446528,3.28648214255061,5,0.9797501077121931,0.8457561395950022,0.13399396811719086,0.14347264110297286,0.052132701421800945,0.25506247307195173,0.2912537699267557,0.05471779405428694,0.1831107281344248,0.4842740198190435
627,48.32,619,97.6340694,63.37209302,43.02325581,17.4421,73595.35865,0.02262,0.04408,0.1676,0.981,19.005,53.16,57.49,1,8.5494488472075,3.38716299496298,38,0.9709208400646203,0.7948303715670436,0.17609046849757673,0.17932148626817448,0.06785137318255251,0.2633279483037157,0.2940226171243942,0.05654281098546042,0.1098546042003231,0.4911147011308562
628,63.30014225,702,232.4503311,73.63636364,39.11564626,21.8951,72983.66667,0.00958,0.04056,0.5973,0.9912,18.64266667,44.41,61.89,0,10.157400750941699,3.4439169740849,15,0.8575498575498576,0.8162393162393162,0.04131054131054131,0.11538461538461539,0.042735042735042736,0.17094017094017094,0.31054131054131057,0.07692307692307693,0.14102564102564102,0.42592592592592593
629,58.95348837,870,240.9972299,71.79487179,48.68421053,22.8645,66082.36994,0.01978,0.18062,0.3345,0.625,13.22692308,48.49,62.28,0,9.92741318559094,3.41596525240129,16,0.957471264367816,0.903448275862069,0.054022988505747126,0.1471264367816092,0.05057471264367816,0.2057471264367816,0.3367816091954023,0.06091954022988506,0.15632183908045977,0.5137931034482759
630,53.31050228,870,199.5412844,70.14388489,44.72477064,24.0196,60049.0,0.0041600000000000005,0.0288,0.3381,0.973,19.07533333,44.03,59.02,0,10.195000044504802,3.22416249712308,24,0.9689655172413794,0.8724137931034482,0.09655172413793103,0.1471264367816092,0.04482758620689655,0.2574712643678161,0.29540229885057473,0.067816091954023,0.15632183908045977,0.48160919540229885
631,39.80500212,2379,147.6722533,56.70103093,53.82585752,71.8072,65938.65932,0.00978,0.05051,0.5022,0.9785,18.64266667,44.41,61.89,0,8.42423583899002,3.41177729904391,12,0.9907524169819252,0.957124842370744,0.03362757461118117,0.15636822194199243,0.05674653215636822,0.21437578814627994,0.3207229928541404,0.0701975620008407,0.1723413198823035,0.49978982765868013
632,44.91413474,764,69.77168950000001,56.55737705,50.40650407,22.8701,71246.41745,0.01793,0.04091,0.5837,1.0,18.23333333,46.98,59.38,0,9.951012178953839,3.21808097043983,20,1.0157068062827226,0.9489528795811518,0.06675392670157068,0.14397905759162305,0.0693717277486911,0.21858638743455497,0.3507853403141361,0.05759162303664921,0.17539267015706805,0.5
633,53.90183216,4402,407.5925926000001,74.05318292,50.48685492,146.8425,77612.31501,0.01246,0.06857,0.379,0.9984,18.23333333,46.98,59.38,0,10.306293767649,3.2329720300394302,34,0.9945479327578374,0.8548387096774194,0.139709223080418,0.12812358019082234,0.06974102680599728,0.22648796001817356,0.3182644252612449,0.06474329850068151,0.18718764198091775,0.4986369831894593
